1	一捧雪記四卷	廣州五桂堂板	俗文學叢刊469冊	/	/	南音-木魚書	88	俗：梁天來四卷；佛圖有其他本。
796	2-新出龍舟歌蘇娘嘆五更	廣州成文堂板	首都圖書館	全	選	龍舟歌	4	倆者內容有差異，建議均收。上圖有以文堂本。
797	1-蘇娘寫血書（蘇娘血書）	廣州醉經書局刻醉經堂機器板	廣東省立中山圖書館	全	選	龍舟歌	5	此書二卷下卷即蘇娘歎五更。倆底本用字異。
798	2-新出龍舟歌蘇娘寫血書	廣州成文堂板	首都圖書館	全	選	龍舟歌	5	俗：廣州五桂堂機器板
799	萬惡化為良一卷金山婆自歎一卷老女嘆五更怨嫁遲一卷蘇娘寫血書一卷	民國廣州民智書店鉛印本	順德區圖書館	/	/	/	19	未檢查。多種合訂，分開，合訂？金山婆自歎選目收俗文學叢刊本。
800	萬惡化為良一卷	民國鉛印本	順德區圖書館	/	/	/	40	未檢查
801	麗荷種花	廣州醉經書局刻本	廣東省立中山圖書館	全	選	龍舟歌	3	傅斯年有以文堂機器版。
802	1-新編關公出世南音（關公出世）四卷十二回（缺卷四） 南邑遂生馮庸著	省港五桂堂機器板	佛山市博物館	缺	二者參補	南音	35	按：兩底本同，1缺卷四。2中間頁面有蟲蛀，可以兩底本補配出版。
803	2-新編關公出世南音（關公出世）四卷十二回 馮庸著	省港五桂堂南邑遂生機器板	廣州圖書館	/	二者參補	南音	46	按：兩底本同，1缺卷四。2中間頁面有蟲蛀，可以兩底本補配出版。
804	1新出龍舟歌關倫賣妹（關倫賣妹）	廣州富桂堂刻本龍舟松原本	日本京都大學人文科學研究所	/	/	龍舟歌	未見	/
805	2關倫賣妹	廣州醉經書局機器板	廣東省立中山圖書館	全	選	/	3	/
806	1-新刻正字關倫賣妹全本（關倫賣妹）四卷	以文堂機器板	廣東省立中山圖書館	殘	選	南音	38	1與2同，1有殘缺，可用2補。復旦有醉經書局本
807	1-新刻正字關倫賣妹全本（關倫賣妹）四卷	以文堂機器板	廣東省立中山圖書館	殘	選	南音	38	1與2同，1有殘缺，可用2補。復旦有醉經書局本
808	2-關倫賣妹四卷	廣州以文堂	俗文學叢刊469冊	/	參補	南音	/	/
809	3-新刻正字關倫賣妹全本（正字關倫賣妹全本）四卷	香港五桂堂書局據以文堂機器板改板印行	法國陳慶浩	/	/	南音	未見	/
810	羅蔔挑經救母四卷	廣州以文堂·丹柱堂板	俗文學叢刊447冊	/	/	南音-木魚書	/	/
811	1新選粉粧樓羅家後代全本（羅家後代粉粧樓全）六集二十四卷	五桂堂、以文堂機器板	中山大學圖書館	缺	選	南音	273	封面：五桂堂。缺6集，用俗文學補。
812	2羅家後代粉粧樓六集二十四卷	廣州五桂堂·以文堂	俗文學叢刊444~445冊	/	參補	南音	/	與上條為同一書。
813	新選粉粧樓羅家後代全本六集二十四卷	廣州丹柱堂刻本	廣東省立中山圖書館	殘	待定	南音	223	與384底本內容大體同，分卷不同，不少用字亦有異，但385底本清晰度不佳，且破損殘缺嚴重。收384還是均收？
814	1新本羅通逼命（羅通逼命）	省港五桂堂	日本天理大學附屬天理圖書館	全	選	龍舟歌	4	按：兩者內容版式與底本同，2末頁版心處稍殘，建議選1。
815	2新本羅通逼命（新出龍舟歌新本羅通逼命）	五桂堂板刻本	廣州圖書館	全	/	龍舟歌	4	按：兩者內容版式與底本同，2末頁版心處稍殘，建議選1。
816	新編趣緻木魚懷春憶夫全集（乞米奉家姑） 余瑞珊編輯	廣州民智書局活字本	廣東省立中山圖書館	全	選	南音-木魚書	25	/
817	繡戈袍八卷	咸豐元年莞城明秀堂二集	俗文學叢刊467冊	/	/	南音-木魚書	/	查“繡”字
818	攔江截鬥	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	/	攔江截鬥
819	護絲女賣靚	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	護絲女靚
820	護（絚）絲女賣靚	佛山芹香閣板	順德區圖書館	/	/	龍舟歌	3	未檢查
821	霸王別虞姬	廣州五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌？	3	/
822	驚醒夢	廣州以文堂	俗文學叢刊417	/	/	龍舟歌	/	/
823	觀音十勸（原板正字觀音十勸） 冷影編	東莞普益書局	廣東省立中山圖書館	全	選	龍舟歌	3	傅斯年有木刻本。
824	1-觀音化銀	以文堂藏 廣州五桂堂印	英國倫敦大學亞非學院圖書館	殘	/	龍舟歌	/	倆底本同，均為以文堂板，印刷版次不同。底本均較好，但1缺，2全，建議收2。
825	2-觀音化銀全本（正字觀音化銀）二卷	以文堂藏 香港五桂堂印	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	6	倆底本同，均為以文堂板，印刷版次不同。底本均較好，但1缺，2全，建議收2。
826	3-觀音化銀	以文堂機器板	日本松浦恒雄	/	/	龍舟歌	未見	/
827	1-新選紫竹林中記（新選紫竹林中觀音出世）二卷	丙申年新鐫東莞華翰堂原本藏刻本	德國巴伐利亞州立圖書館	全	選	南音木魚書	30	按：1與2看主題內容同，但從目錄看，2內容比1多兩部分。有些地方兩者用字亦有不同。3僅存卷下，主體內容同1與2，但用字有異。4目錄與2同，個別用字不同，4清晰度較佳。如何選本，請定。選1與4，還是均收？
828	2-新刻紫竹林中記（觀音出世）二卷	廣州醉經堂據舊本改板印行刻本	廣東省立中山圖書館	全	待定	南音木魚書	27	按：1與2看主題內容同，但從目錄看，2內容比1多兩部分。有些地方兩者用字亦有不同。3僅存卷下，主體內容同1與2，但用字有異。4目錄與2同，個別用字不同，4清晰度較佳。如何選本，請定。選1與4，還是均收？
829	3-新刻正字觀音出世全本（觀音出世）二卷（存卷下）	廣州醉經書局機器板	廣東省立中山圖書館	缺	待定	南音木魚書	11	按：1與2看主題內容同，但從目錄看，2內容比1多兩部分。有些地方兩者用字亦有不同。3僅存卷下，主體內容同1與2，但用字有異。4目錄與2同，個別用字不同，4清晰度較佳。如何選本，請定。選1與4，還是均收？
830	4-新刻正字觀音出世全本（觀音出世）二卷	廣州會文閣排印本	廣州圖書館	全	選	南音木魚書	59	按：1與2看主題內容同，但從目錄看，2內容比1多兩部分。有些地方兩者用字亦有不同。3僅存卷下，主體內容同1與2，但用字有異。4目錄與2同，個別用字不同，4清晰度較佳。如何選本，請定。選1與4，還是均收？
831	重訂囑媳送衣（囑媳送衣）	省港五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	4	/
832	讚樂意	同治九年趣致堂	俗文學叢刊419	/	/	龍舟歌	/	/
/	/	/	/	/	/	/	/	/
/	/	/	/	/	/	/	/	/
/	/	/	/	/	/	/	/	/
/	/	/	/	/	/	/	/	/
